id_medicamento,ium,principio_activo,nombre_comercial,forma_farmaceutica,concentracion,unidad_medida,presentacion_comercial,es_combinado
170,1A1042211000100,PBRONQ/NAS-DERM FARINAE,PRUEBA DE PROVOCACION BN,POLVO LIOFILIZADO,100,HEP/ML,FRASCOS,0
171,1A1042221000100,PBRONQ/NAS-DERM PTER.,PRUEBA DE PROVOCACION BN,POLVO LIOFILIZADO,100,HEP/ML,FRASCOS,0
172,1A1042231000100,PBRONQ/NAS-EPITELIO DE GATO,PRUEBA DE PROVOCACION BN,POLVO LIOFILIZADO,30,HEP/ML,FRASCOS,0
173,1A1042241000100,PBRONQ/NAS-EPITELIO DE PERRO,PRUEBA DE PROVOCACION BN,POLVO LIOFILIZADO,30,HEP/ML,FRASCOS,0
174,1A1042341000100,AVAPRITINIB,AYVAKIT,TABLETA,100,MG,FRASCOS X 30 TABLETAS,0
175,1A1046101000100,AVATROMBOPAG,DOPTELET,TABLETA,20,MG,CAJAS X 30 TABLETAS,0
176,1A1046781000100,ALERGENO GRAMINEAS SALVAJES,DIATER,SOLUCION INYECTABLE,"0,3",HEP/ML,CAJAS X 2 VIALES X 3 ML,0
177,1A1050241000100,EPITELIO DE GATO,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHE X 2 VIALES DE 3 ML,0
178,1A1050241000101,EPITELIO DE GATO 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 20 VIALES DE 3ML,0
179,1A1051161000100,EPITELIO DE PERRO,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
180,1A1051161000101,EPITELIO DE PERRO 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 20 VIALES DE 3ML,0
181,1A1060541000100,ALERGENO ALUBIA BLANCA,PRICK TEST,SOLUCION,150,MCG/ML,"FRASCOS X 2,5 ML",0
182,1A1060841000100,DERM PTER 100%,DEPIGOID,SUSPENSION INYECTABLE,300,DDP/ML,ESTUCHES X 2 VIALES,0
183,1A1060921000100,ACIDO 5-AMINOLEVULINICO HCL,GLIOLAN,POLVO PARA RECONSTITUIR A SOLUCION ORAL,30,MG/ML,CAJAS. CADA CAJA CON UN FRASCO DE 50ML,0
