id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
184,D758,OTRAS ENFERMEDADES ESPECIFICADAS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS,Neoplasias benignas / Enf. de la sangre,1
185,G474,NARCOLEPSIA Y CATAPLEXIA,Enfermedades del sistema nervioso,1
186,NO REPORTADO,NEFROPATIA PRIMARIA POR INMUNOGLOBILINA A,Enfermedades del sistema genitourinario,1
187,E149,"DIABETES MELLITUS, NO ESPECIFICADA SIN MENCION DE COMPLICACION","Enf. endocrinas, nutricionales y metabólicas",1
188,F238,OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,Trastornos mentales y del comportamiento,1
189,NO REPORTADO,DEFICIT DE POTASIO,Enfermedades del sistema genitourinario,1
190,B028,HERPES ZOSTER CON OTRAS COMPLICACIONES,Enfermedades infecciosas y parasitarias,1
191,G249,"DISTONIA, NO ESPECIFICADA",Enfermedades del sistema nervioso,1
192,NO REPORTADO,ARRITMIAS GRAVEZ,Enfermedades del sistema genitourinario,1
193,T560,EFECTO TOXICO DE METALES: PLOMO Y SUS COMPUESTOS,Traumatismos y envenenamientos,1
194,B169,"HEPATITIS AGUDA TIPO B, SIN AGENTE DELTA Y SIN COMA HEPATICO",Enfermedades infecciosas y parasitarias,1
195,M080,ARTRITIS REUMATOIDE JUVENIL,Enfermedades del sistema musculoesquelético,1
196,NO REPORTADO,METAHEMOGLOBINEMIA,Enfermedades del sistema genitourinario,1
197,T500,"ENVENENAMIENTO POR DIURETICOS Y OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS NO ESPECIFICADAS: MINERALOCORTICOIDES Y SUS ANTAGONISTAS",Traumatismos y envenenamientos,1
198,C840,MICOSIS FUNGOIDE,Neoplasias malignas (oncológico),1
199,D841,DEFECTO DEL SISTEMA DEL COMPLEMENTO,Neoplasias benignas / Enf. de la sangre,1
200,D471,ENFERMEDAD MIELOPROLIFERATIVA CRONICA,Neoplasias benignas / Enf. de la sangre,1
201,NO REPORTADO,"INMUODEFICIENCIA PRIMARIA, PURPURA TROMBOCITOPENICA",Enfermedades del sistema genitourinario,1
202,A300,LEPRA INDETERMINADA,Enfermedades infecciosas y parasitarias,1
203,E744,TRASTORNOS DEL METABOLISMO DEL PIRUVATO Y DE LAS GLUCONEOGENESIS,"Enf. endocrinas, nutricionales y metabólicas",1
204,D45X,POLICITEMIA VERA,Neoplasias benignas / Enf. de la sangre,1
205,Z948,OTROS ORGANOS Y TEJIDOS TRASPLANTADOS,Factores que influyen en el estado de salud,1
206,E612,DEFICIENCIA DE MAGNESIO,"Enf. endocrinas, nutricionales y metabólicas",1
